time,heat_load
79800 sec,4011.245267
80100 sec,3967.302531
80400 sec,3997.65891
80700 sec,3987.827375
81000 sec,3981.881995
81300 sec,4009.090571
81600 sec,4027.452421
81900 sec,4039.547255
82200 sec,4040.934003
82500 sec,4024.01633
82800 sec,4030.47645
83100 sec,4054.89315
83400 sec,4020.67365
83700 sec,4006.638312
84000 sec,4058.492126
84300 sec,4020.541492
84600 sec,4011.908173
84900 sec,4050.175127
85200 sec,4040.240307
85500 sec,4008.903064
85800 sec,3988.437056
86100 sec,3975.185419
86400 sec,4021.136999
86700 sec,3974.18402
87000 sec,4016.834831
87300 sec,3960.063867
87600 sec,3979.047244
87900 sec,3977.211671
88200 sec,3937.869051
88500 sec,3924.563302
88800 sec,3859.927216
89100 sec,3927.525506
89400 sec,2825.404273
89700 sec,2823.580524
90000 sec,2856.247835
90300 sec,3915.619476
90600 sec,3949.046989
90900 sec,3972.260467
91200 sec,4039.708349
91500 sec,3900.994939
91800 sec,3910.527185
92100 sec,3904.977393
92400 sec,3923.227176
92700 sec,3913.640738
93000 sec,3926.982295
93300 sec,3897.140659
93600 sec,3893.291305
93900 sec,3938.060139
94200 sec,3871.310444
94500 sec,3887.874752
94800 sec,3860.477825
95100 sec,3884.586981
95400 sec,3952.121577
95700 sec,3948.123703
96000 sec,3932.501641
96300 sec,3938.349402
96600 sec,3937.433033
96900 sec,3919.111435
97200 sec,3928.06613
97500 sec,3915.405077
97800 sec,3880.671612
98100 sec,3895.762463
98400 sec,3853.375523
98700 sec,3935.940526
99000 sec,3929.313587
99300 sec,3936.288223
99600 sec,3938.494476
99900 sec,3910.726789
1.002e+05 sec,3948.578769
1.005e+05 sec,3925.714009
1.008e+05 sec,4001.640986
1.011e+05 sec,3972.722777
1.014e+05 sec,3906.708743
1.017e+05 sec,3964.926999
1.02e+05 sec,3911.044079
1.023e+05 sec,3938.36381
1.026e+05 sec,3916.686024
1.029e+05 sec,3907.669028
1.032e+05 sec,3852.006521
1.035e+05 sec,3901.326986
1.038e+05 sec,3873.479339
1.041e+05 sec,3894.963798
1.044e+05 sec,3874.252507
1.047e+05 sec,3850.593254
1.05e+05 sec,3888.294177
1.053e+05 sec,3876.500322
1.056e+05 sec,3844.74915
1.059e+05 sec,3821.157484
1.062e+05 sec,3891.319146
1.065e+05 sec,3813.175748
1.068e+05 sec,3966.273739
1.071e+05 sec,4045.398094
1.074e+05 sec,4067.168414
1.077e+05 sec,4058.32707
1.08e+05 sec,4120.123559
1.083e+05 sec,4065.23759
1.086e+05 sec,4070.479967
1.089e+05 sec,3983.663851
1.092e+05 sec,3984.964534
